LAMMPS data file via MB ab initio 2012 timestep = 1

3240 atoms
2 atom types

-15.35 30.7 xlo xhi
-15.35 30.7 ylo yhi
-15.35 30.7 zlo zhi

Masses

1 72.63
2 78.971

Atoms # atomic

1 1 -11.305 -3.69 -12.902
2 1 -13.008 -7.889 -9.934
3 1 -14.8768 -13.406 -4.3
4 1 -14.6958 -10.437 -4.34
5 1 -11.885 -0.11 -2.68
6 1 -14.9791 -2.7 -2.68
7 1 -10.467 -5.582 -0.09
8 1 -11.17 -8.054 -4.23
9 1 -14.7499 -10.699 -9.862
10 1 -6.113 -5.72 -1.86
11 1 -5.0 -3.81 -13.957
12 1 -7.662 -13.426 -10.695
13 1 -2.73 -5.402 -12.927
14 1 -0.31 -0.02 -14.5895
15 1 -5.11 -12.785 -0.91
16 1 -2.3 -11.303 -8.944
17 1 -9.735 -1.4 -3.51
18 1 -1.17 -7.595 -11.207
19 1 -5.29 -11.725 -8.806
20 1 -5.02 -5.637 -5.823
21 1 -2.12 -5.942 -4.51
22 1 -7.086 -0.59 -6.09
23 1 -2.21 -8.64 -1.48
24 1 -0.64 -3.09 -8.404
25 1 -2.01 -14.019 -2.31
26 1 -15.2042 -5.06 -4.58
27 1 -11.733 -1.07 -11.208
28 1 -6.514 -4.36 -7.203
29 1 -0.04 -1.18 -11.178
30 1 -13.309 -9.569 -13.015
31 1 -11.739 -9.142 -0.83
32 1 -6.8 -1.42 -15.2015
33 1 -9.642 -2.43 -5.823
34 1 -7.644 -14.281 -2.9
35 1 -10.424 -11.407 -14.3831
36 1 -1.35 -12.536 -0.85
37 1 -5.05 -5.803 -9.528
38 1 -12.141 -5.576 -7.137
39 1 -4.8 -6.805 -13.009
40 1 -7.558 -12.055 -14.001
41 2 -13.85 -4.89 -2.72
42 2 -4.79 -8.945 -14.193
43 2 -4.64 -7.174 -7.692
44 2 -5.803 -6.797 -3.84
45 2 -2.95 -5.15 -10.292
46 2 -15.0132 -3.2 -10.63
47 2 -12.578 -11.816 -12.418
48 2 -1.66 -14.272 -4.64
49 2 -12.691 -14.206 -0.74
50 2 -11.556 -1.82 -2.05
51 2 -14.6775 -6.476 -10.241
52 2 -13.69 -14.9761 -11.318
53 2 -6.304 -10.884 -0.1
54 2 -8.869 -1.46 -7.407
55 2 -2.71 -3.6 -14.5441
56 2 -10.923 -6.89 -8.769
57 2 -5.26 -2.93 -0.84
58 2 -2.48 -7.873 -5.877
59 2 -1.54 -0.97 -13.342
60 2 -3.65 -12.17 -7.014
61 2 -12.867 -10.314 -9.343
62 2 -14.186 -5.749 -7.356
63 2 -8.397 -4.28 -5.835
64 2 -9.27 -13.665 -14.4563
65 2 -5.725 -1.89 -13.108
66 2 -6.773 -4.31 -9.472
67 2 -13.306 -0.49 -15.0969
68 2 -9.022 -8.767 -3.54
69 2 -9.367 -4.88 -12.984
70 2 -11.518 -3.3 -10.327
71 2 -4.17 -11.282 -10.54
72 2 -7.388 -1.0 -3.66
73 2 -6.3 -14.063 -4.99
74 2 -6.998 -10.854 -7.788
75 2 -9.9 -8.004 -15.2208
76 2 -14.3916 -11.82 -6.06
77 2 -14.5843 -11.958 -2.53
78 2 -9.517 -12.481 -9.854
79 2 -3.47 -12.693 -14.9448
80 2 -4.45 -8.205 -1.06
81 2 -0.63 -7.034 -1.18
82 2 -10.205 -14.9998 -3.73
83 2 -2.59 -5.27 -2.27
84 2 -5.23 -2.17 -6.8
85 2 -8.3 -0.33 -10.499
86 2 -8.52 -10.459 -9.818
87 2 -11.159 -1.45 -13.227
88 2 -8.188 -5.86 -2.74
89 2 -6.245 -14.7679 -0.6
90 2 -10.137 -4.31 -1.8
91 2 -9.0 -10.161 -13.372
92 2 -10.727 -11.294 -0.88
93 2 -12.738 -4.93 -14.4614
94 2 -5.588 -7.533 -11.029
95 2 -11.027 -5.868 -4.92
96 2 -14.014 -15.1191 -3.98
97 2 -0.76 -6.192 -12.847
98 2 -2.0 -1.17 -7.972
99 2 -10.065 -10.684 -6.42
100 2 -0.01 -12.735 -14.354
101 2 -11.438 -3.11 -6.87
102 2 -15.0333 -9.886 -12.097
103 2 -11.902 -9.374 -5.761
104 2 -12.023 -8.101 -11.565
105 2 -6.178 -5.358 -14.238
106 2 -1.92 -0.39 -10.141
107 2 -1.24 -9.309 -8.579
108 2 -1.72 -0.3 -1.43
109 2 -3.98 -12.57 -3.03
110 2 -13.18 -8.41 -14.6776
111 2 -5.954 -14.206 -8.912
112 2 -3.56 -4.24 -5.21
113 2 -1.45 -10.298 -0.09
114 2 -0.18 -2.76 -4.93
115 2 -12.576 -8.767 -2.73
116 2 -2.05 -9.553 -3.87
117 2 -10.592 -15.25145 -10.099
118 2 -9.14 -11.082 -4.38
119 2 -6.17 -13.13 -12.421
120 2 -0.38 -12.73 -9.541
121 1 -11.305 -3.69 2.448
122 1 -13.008 -7.889 5.416
123 1 -14.8768 -13.406 11.05
124 1 -14.6958 -10.437 11.01
125 1 -11.885 -0.11 12.67
126 1 -14.9791 -2.7 12.67
127 1 -10.467 -5.582 15.26
128 1 -11.17 -8.054 11.12
129 1 -14.7499 -10.699 5.488
130 1 -6.113 -5.72 13.49
131 1 -5.0 -3.81 1.393
132 1 -7.662 -13.426 4.655
133 1 -2.73 -5.402 2.423
134 1 -0.31 -0.02 0.7605
135 1 -5.11 -12.785 14.44
136 1 -2.3 -11.303 6.406
137 1 -9.735 -1.4 11.84
138 1 -1.17 -7.595 4.143
139 1 -5.29 -11.725 6.544
140 1 -5.02 -5.637 9.527
141 1 -2.12 -5.942 10.84
142 1 -7.086 -0.59 9.26
143 1 -2.21 -8.64 13.87
144 1 -0.64 -3.09 6.946
145 1 -2.01 -14.019 13.04
146 1 -15.2042 -5.06 10.77
147 1 -11.733 -1.07 4.142
148 1 -6.514 -4.36 8.147
149 1 -0.04 -1.18 4.172
150 1 -13.309 -9.569 2.335
151 1 -11.739 -9.142 14.52
152 1 -6.8 -1.42 0.1485
153 1 -9.642 -2.43 9.527
154 1 -7.644 -14.281 12.45
155 1 -10.424 -11.407 0.9669
156 1 -1.35 -12.536 14.5
157 1 -5.05 -5.803 5.822
158 1 -12.141 -5.576 8.213
159 1 -4.8 -6.805 2.341
160 1 -7.558 -12.055 1.349
161 2 -13.85 -4.89 12.63
162 2 -4.79 -8.945 1.157
163 2 -4.64 -7.174 7.658
164 2 -5.803 -6.797 11.51
165 2 -2.95 -5.15 5.058
166 2 -15.0132 -3.2 4.72
167 2 -12.578 -11.816 2.932
168 2 -1.66 -14.272 10.71
169 2 -12.691 -14.206 14.61
170 2 -11.556 -1.82 13.3
171 2 -14.6775 -6.476 5.109
172 2 -13.69 -14.9761 4.032
173 2 -6.304 -10.884 15.25
174 2 -8.869 -1.46 7.943
175 2 -2.71 -3.6 0.8059
176 2 -10.923 -6.89 6.581
177 2 -5.26 -2.93 14.51
178 2 -2.48 -7.873 9.473
179 2 -1.54 -0.97 2.008
180 2 -3.65 -12.17 8.336
181 2 -12.867 -10.314 6.007
182 2 -14.186 -5.749 7.994
183 2 -8.397 -4.28 9.515
184 2 -9.27 -13.665 0.8937
185 2 -5.725 -1.89 2.242
186 2 -6.773 -4.31 5.878
187 2 -13.306 -0.49 0.2531
188 2 -9.022 -8.767 11.81
189 2 -9.367 -4.88 2.366
190 2 -11.518 -3.3 5.023
191 2 -4.17 -11.282 4.81
192 2 -7.388 -1.0 11.69
193 2 -6.3 -14.063 10.36
194 2 -6.998 -10.854 7.562
195 2 -9.9 -8.004 0.1292
196 2 -14.3916 -11.82 9.29
197 2 -14.5843 -11.958 12.82
198 2 -9.517 -12.481 5.496
199 2 -3.47 -12.693 0.4052
200 2 -4.45 -8.205 14.29
201 2 -0.63 -7.034 14.17
202 2 -10.205 -14.9998 11.62
203 2 -2.59 -5.27 13.08
204 2 -5.23 -2.17 8.55
205 2 -8.3 -0.33 4.851
206 2 -8.52 -10.459 5.532
207 2 -11.159 -1.45 2.123
208 2 -8.188 -5.86 12.61
209 2 -6.245 -14.7679 14.75
210 2 -10.137 -4.31 13.55
211 2 -9.0 -10.161 1.978
212 2 -10.727 -11.294 14.47
213 2 -12.738 -4.93 0.8886
214 2 -5.588 -7.533 4.321
215 2 -11.027 -5.868 10.43
216 2 -14.014 -15.1191 11.37
217 2 -0.76 -6.192 2.503
218 2 -2.0 -1.17 7.378
219 2 -10.065 -10.684 8.93
220 2 -0.01 -12.735 0.996
221 2 -11.438 -3.11 8.48
222 2 -15.0333 -9.886 3.253
223 2 -11.902 -9.374 9.589
224 2 -12.023 -8.101 3.785
225 2 -6.178 -5.358 1.112
